mode	variant	phase	status	duration_s	log
optimized	SPHINCS-128f-robust	keygen	OK	174	/path/to/repo/cva6/tests/results/spx_batch_20260522_142021/optimized-SPHINCS-128f-robust-keygen.log.iss
optimized	SPHINCS-128f-simple	keygen	OK	159	/path/to/repo/cva6/tests/results/spx_batch_20260522_142021/optimized-SPHINCS-128f-simple-keygen.log.iss
optimized	SPHINCS-192f-robust	keygen	OK	313	/path/to/repo/cva6/tests/results/spx_batch_20260522_142021/optimized-SPHINCS-192f-robust-keygen.log.iss
optimized	SPHINCS-192f-simple	keygen	OK	288	/path/to/repo/cva6/tests/results/spx_batch_20260522_142021/optimized-SPHINCS-192f-simple-keygen.log.iss
optimized	SPHINCS-256f-robust	keygen	OK	946	/path/to/repo/cva6/tests/results/spx_batch_20260522_142021/optimized-SPHINCS-256f-robust-keygen.log.iss
optimized	SPHINCS-256f-simple	keygen	OK	877	/path/to/repo/cva6/tests/results/spx_batch_20260522_142021/optimized-SPHINCS-256f-simple-keygen.log.iss
